country_region_winery
"Frankrig,Languedoc-Roussillon,Domaine de la Baume"
"Italien,Val di Neto,Librandi"
"Italien,Chianti,Rocca delle Macìe"
"Argentina,Mendoza,The Beefsteak Club"
"Spanien,Somontano,Viñas del Vero"
"Italien,Piemonte,Dilé"
"Italien,Vermentino di Sardegna,Argiolas"
"Spanien,Rueda,Vetus"
"Italien,Toscana,Banfi"
"Spanien,Ribera del Duero,Cune (CVNE)"
"Spanien,Penedès,Freixenet"
"Italien,Vermentino di Sardegna,Santadi"
"Sydafrika,Western Cape,Arabella"
"Frankrig,Côtes-du-Rhône,Cellier des Dauphins"
"Spanien,Vino de España,Trenza"
"Spanien,Manchuela,Bodega Iniesta"
"Italien,Monica di Sardegna,Argiolas"
"Italien,Cannonau di Sardegna,Sella & Mosca"
"Italien,Asti,Araldica"
"Australien,Sydøstlige Australien,Badgers Creek"
"Spanien,Bierzo,Cuatro Pasos"
"Portugal,Madeira,Barbeito"
"Chile,Valle de Casablanca,Veramonte"
"Portugal,Alenquer,Quinta das Setencostas"
"Spanien,Almansa,Bodegas Piqueras"
"Italien,Puglia,Baccolo"
"Australien,South Australia,McGuigan"
"Italien,Sicilia,Donnafugata"
"Sydafrika,Western Cape,Boschendal"
"Østrig,Niederösterreich,Weingut R&A Pfaffl"
"Spanien,Manchuela,Bodegas Ponce"
"Tyskland,Mosel,Abtei Himmerod"
"Argentina,Lujan de Cuyo,Bodega Norton"
"Sydafrika,Constantia,Buitenverwachting"
"Italien,Puglia,Tank"
"Chile,Santiago,Cono Sur"
"Sydafrika,Stellenbosch,Zonnebloem"
"Italien,Valpolicella,Tedeschi"
"Frankrig,Bordeaux,Château Lamothe"
"Sydafrika,Stellenbosch,Boschendal"
"Sydafrika,Western Cape,Leopard’s Leap"
"Italien,Terre di Chieti,Farnese"
"Spanien,Ribera del Duero,Condado de Oriza"
"Spanien,Rioja,Vina Herminia"
"Italien,Chianti,Tancia - Azienda Agricola Silla"
"Sydafrika,Western Cape,Rib Shack"
"Spanien,Rueda,Palacio de Bornos"
"Spanien,Jerez-Xérès-Sherry,Pedro Rodriguez e Hijos"
"Italien,Carignano del Sulcis,Santadi"
"Spanien,Catalunya,Bach"
"Sydafrika,Stellenbosch,False Bay"
"Australien,South Australia,Oxford Landing"
"Spanien,Rioja,Arnegui"
"Australien,Sydøstlige Australien,Tempus Two"
"Portugal,Dão,Cabriz"
"Italien,Terre di Chieti,Vanitá"
"Argentina,Mendoza,Butcher's Cut"
"Frankrig,Côtes-du-Rhône,Camille Cayran"
"Sydafrika,Stellenbosch,Welmoed"
"Chile,Central Valley,Montes"
"Chile,Colchagua Valley,Aetos"
"Chile,Colchagua Valley,Montes"
"Argentina,Uco Valley,Andeluna"
"Italien,Nuragus di Cagliari,Argiolas"
"Italien,Montepulciano d'Abruzzo,Citra"
"Frankrig,Castillon - Côtes de Bordeaux,Château Fongaban"
"Italien,Veneto,Baccolo"
"Frankrig,Côtes de Thongue,Domaine Montrose"
"Italien,Montepulciano d'Abruzzo,Torre Raone"
"Sydafrika,Wellington,Rhino Wines"
"Italien,Sydtyrol - Alto Adige,Cantina Bolzano / Kellerei Bozen"
"Italien,Puglia,Campo di Marzo"
"Italien,Veneto,Lenotti"
"Italien,Terre Siciliane,Vanitá"
"Italien,Vermentino di Sardegna,Santa Maria La Palma"
"Italien,Salento,Verosso"
"Italien,Puglia,San Marzano"
"Spanien,Somontano,Enate"
"Italien,Terre Siciliane,Corterosso"
"Italien,Veneto,Sopra Sasso"
"Frankrig,Pays d'Oc,Rafale"
"Italien,Prosecco,Caldirola"
"Australien,South Australia,Rawson's Retreat"
"Spanien,Alicante,Telmo Rodriguez"
"Italien,Monica di Sardegna,Santadi"
"Portugal,Vinho Verde,Anselmo Mendes"
"Italien,Cannonau di Sardegna,Santa Maria La Palma"
"Spanien,Rueda,Analivia"
"Italien,Rubicone,Conte di Campiano"
"Sydafrika,Western Cape,MAN"
"Italien,Trebbiano d'Abruzzo,Masciarelli"
"Italien,Bianco di Custoza,Cavalchina"
"Spanien,Rioja,Aldonia"
"Tyskland,Pfalz,Friedrich Becker"
"Italien,Prosecco,Ca' di Alte"
"Spanien,Montsant,Celler de Capçanes"
"Italien,Verdicchio dei Castelli di Jesi,Moncaro"
"Italien,Toscana,Armatura"
"Spanien,Rioja,Bodegas Valdemar"
"Tyskland,Pfalz,Hans Baer"
"Italien,Salento,Vinosia"
"Italien,delle Venezie,Casa Lunardi"
"Argentina,Mendoza,Elsa Bianchi"
"Spanien,Rioja,Altos de Rioja"
"Italien,Prosecco di Treviso,Marsuret"
"Sydafrika,Robertson,Van Loveren"
"Frankrig,Bordeaux,Château Haut Maurin"
"Italien,Bianco di Custoza,Gorgo"
"Frankrig,Ventoux,Domaine du Bon Remède"
"Italien,Veneto,Paladin"
"Sydafrika,Coastal Region,Tall Horse"
"Spanien,Castilla,Gran Sello"
"Italien,Barco Reale di Carmignano,Pierazzuoli"
"Spanien,Jumilla,Olivares"
"Italien,Toscana,Fattoria dei Barbi"
"Frankrig,Bordeaux,Château Briot"
"Sydafrika,Western Cape,Oude Kaap"
"Portugal,Tejo,Lagoalva"
"Italien,Lazio,Antico Ceppo"
"Østrig,Niederösterreich,Weingut Bründlmayer"
"Italien,delle Venezie,Bolla"
"Frankrig,Bordeaux,Château Haut Bicou"
"Sydafrika,Coastal Region,Bellingham"
"Italien,Salento,Castello Monaci"
"Sydafrika,Western Cape,Footprint"
"Italien,Chianti,Tenuta Sette Ponti"
"Frankrig,Haut-Médoc,Château Tanaïs Olivier"
"Italien,Cannonau di Sardegna,Antichi Poderi Jerzu"
"Italien,Sydtyrol - Alto Adige,Tramin"
"Italien,Puglia,Torrevento"
"Argentina,Valle Calchaqui,Michel Torino"
"Chile,Curico Valley,Montes"
"Chile,Curico Valley,Los Riscos"
"Italien,Terre Siciliane,Caruso & Minini"
"Italien,Frascati,Poggio le Volpi"
"Portugal,Dão,Bacalhôa"
"Frankrig,Bordeaux,Château Haut-Mouleyre"
"Australien,Sydøstlige Australien,Rosemount"
"Italien,Lison-Pramaggiore,Bosco del Merlo"
"Chile,Curico Valley,Echeverría"
"Frankrig,Hérault,Domaine la Colombette"
"Italien,Salento,Cantine due Palme"
"Spanien,Rioja,Beronia"
"Italien,Umbrien,Santa Cristina"
"Italien,Valpolicella Classico,Tedeschi"
"Spanien,Rueda,Lan"
"Portugal,Alentejo,Ervideira"
"Tyskland,Pfalz,Weingut A. Diehl"
"Italien,Vigneti delle Dolomiti,Wilhelm Walch"
"Spanien,Castilla,Dehesa de Luna"
"Frankrig,Nordlige Rhône,Paul Jaboulet Aîné"
"Frankrig,Bordeaux,Château Drouet"
"Italien,Cannonau di Sardegna,Cantina di Dolianova"
"Frankrig,Languedoc,Lionne Leonessa"
"Italien,Soave,Zenato"
"Frankrig,Languedoc-Roussillon,Boutinot"
"Østrig,Mittelburgenland,Weninger"
"Italien,Veneto,Casalforte"
"Spanien,Castilla,Tofterup Brothers"
"Italien,Salento,Tenuta Giustini"
"Italien,Salento,Cantina Rosa del Golfo"
"Frankrig,Côtes-du-Rhône,Ambroise Lapierre"
"Italien,Montecarlo,Tenuta del Buonamico"
"Chile,Central Valley,Carmen"
"Sydafrika,Western Cape,Du Toitskloof"
"Italien,Falanghina del Sannio,La Guardiense"
"Frankrig,Pays d'Oc,Abbotts & Delaunay"
"Chile,Central Valley,Miguel Torres Chile"
"Argentina,Mendoza,Don Cristobal"
"Italien,Torgiano,Lungarotti"
"Frankrig,Saint-Guilhem-le-Desert,Domaine de l'Hortus"
"Spanien,Almansa,Intruso"
"Italien,Bardolino,Gorgo"
"Italien,Bardolino,Corte Giara"
"Tyskland,Pfalz,Lergenmüller"
"Argentina,Mendoza,Phebus"
"Italien,Puglia,Verosso"
"Spanien,Vino de España,El Castilla"
"Østrig,Niederösterreich,Schloss Gobelsburg"
"Frankrig,Bordeaux,Château Bordeneuve"
"Italien,Salento,Leone de Castris"
"Frankrig,Côtes Catalanes,Vignerons de Tautavel Vingrau"
"Sydafrika,Robertson,Excelsior"
"Frankrig,Ventoux,Paul Jaboulet Aîné"
"Italien,Montepulciano d'Abruzzo,Agriverde"
"Tyskland,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut"
"Italien,Puglia,Emera"
"Portugal,Vinho Verde,Quintas de Melgaço"
"Tyskland,Pfalz,Ellermann-Spiegel"
"Østrig,Kamptal,Weinhof Waldschütz"
"Italien,Montepulciano d'Abruzzo,Caldora"
"Sydafrika,Stellenbosch,Hill & Dale"
"Frankrig,Bordeaux,Château Roc de Levraut"
"Sydafrika,Breede River Valley,Excelsior"
"Italien,Toscana,San Fabiano Calcinaia"
"Italien,Bianco di Custoza,Cantina di Custoza"
"Italien,Lugana,Antiche Terre Venete"
"Spanien,Castilla,Finca Constancia"
"Spanien,Rioja,El Meson"
"Frankrig,Bordeaux,Grand Bellot"
"Italien,Salice Salentino,Nero Marone"
"Italien,Salento,Azienda Vinicola Losito e Guarini"
"Frankrig,Haut-Médoc,Château Bonneau"
"Frankrig,Bordeaux,Château Talaise"
"Frankrig,Côtes-du-Rhône,Pelaquie"
"Frankrig,Ventoux,Domaine de Fondrèche"
"Frankrig,Alsace,J. Riehl"
"Spanien,Jumilla,EGO"
"Italien,Copertino,Severino Garofano"
"Italien,Trebbiano d'Abruzzo,Villa Rocca"
"Chile,Valle de Maipo,Aetos"
"Italien,Veneto,Palazzo Pisano"
"Argentina,Cafayate Valley,Bodegas Etchart"
"Spanien,Toro,Vega Saúco"
"Frankrig,Bordeaux Supérieur,Château Prince Larquey"
"Østrig,Niederösterreich,Heiderer Mayer"
"Spanien,Catalunya,Ramón Roqueta"
"Italien,Moscato d'Asti,Vite Colte"
"Tyskland,Pfalz,Weingut Metzger"
"Frankrig,Muscadet-Sevre et Maine,Domaine de la Bretonnière"
"Spanien,La Mancha,Pago de la Jaraba"
"Italien,Toscana,La Rasina"
"Italien,Terre Siciliane,San Marzano"
"Spanien,La Mancha,Balestino"
"Italien,Vermentino di Sardegna,Dorgali"
"Argentina,Mendoza,Kaiken"
"Italien,Terre Siciliane,Feudi del Pisciotto"
"Frankrig,Pays d'Oc,Dom Brial"
"Italien,Vermentino di Sardegna,Contini"
"Sydafrika,Western Cape,Stony Cape"
"Spanien,Rioja,Finca Besaya"
"Frankrig,Côtes Catalanes,Mas Saint Pierre"
"Frankrig,Bordeaux,Château Thomas-Laurent"
"Italien,Terre Siciliane,Mons Igneus"
"Spanien,Toro,Finca Sobreno"
"Portugal,Península de Setúbal,Sociedade Vinicola de Palmela"
"Italien,Umbrien,Perticaia"
"Portugal,Douro,Quinta do Silval"
"Italien,Lacrima di Morro d'Alba,Mattei"
"Frankrig,Bordeaux,Château Virevalois"
"Italien,Calabrien,Statti"
"Sydafrika,Coastal Region,Fairview"
"Sydafrika,Western Cape,Heron's Nest"
"Italien,Salice Salentino,Cantine due Palme"
"Italien,Romagna,Poderi dal Nespoli"
"USA,Californien,Stone Cellars"
"Spanien,Toro,Balestino"
"Italien,Terre Siciliane,Firriato"
"Italien,Montepulciano d'Abruzzo,Bosco"
"Italien,Terre Siciliane,Vaccaro"
"Chile,Central Valley,Noblesse"
"Frankrig,Côtes du Roussillon,Terrassous"
"Italien,Chianti,Le Chiantigiane"
"Frankrig,Côtes-du-Rhône,L'Union des Vignerons des Côtes du Rhône"
"Sydafrika,Stellenbosch,Kaapzicht"
"Frankrig,Languedoc,Terroir Sauvage"
"Italien,Rosso di Montalcino,Bolsignano"
"Sydafrika,Stellenbosch,Clos Malverne"
"Frankrig,Bordeaux,Château La Citadelle"
"Italien,Veneto,Käfer"
"Frankrig,Pays d'Oc,Reunis de Cebazan"
"Italien,delle Venezie,Fasoli Gino"
"Spanien,Jerez-Xérès-Sherry,Pastora"
"Spanien,Valencia,El Angosto"
"Frankrig,Languedoc-Roussillon,Duo des Plages"
"Italien,Bardolino Classico,Cecilia Beretta"
"Chile,Central Valley,Pelusas"
"Tyskland,Mosel,Weingut Loersch"
"Tyskland,Rheinhessen,Weingut Geil"
"Chile,Colchagua Valley,Sutil"
"Spanien,Rioja,Baron de Ley"
"Sydafrika,Western Cape,Silver Leaf"
"Frankrig,Bordeaux,Château Chauvelet"
"Italien,Toscana,Bontadini"
"Italien,Chianti Colli Senesi,Villa Poggio Salvi"
"Chile,Curico Valley,Carmen"
"Østrig,Burgenland,Paul Lehrner"
"Italien,Terre Siciliane,Corte dei Mori"
"Italien,Piemonte,Sartirano Figli Cantine e Vigneti"
"Frankrig,Côtes Catalanes,Domaine Lafage"
"Sydafrika,Western Cape,Lourensford"
"Spanien,Rioja,Luis Cañas"
"Italien,Teroldego Rotaliano,Terrazze della Luna"
"Spanien,Ribera del Duero,Convento San Francisco"
"Spanien,Bullas,El Escocés Volante"
"Frankrig,Bordeaux,Château Villotte"
"Italien,Colline Pescaresi,Bosco"
"Sydafrika,Robertson,Bon Courage"
"Italien,Marche,Umani Ronchi"
"Frankrig,Côtes-du-Rhône,Domaine de Cabasse"
"Tyskland,Baden,Weingut Michel"
"Frankrig,Languedoc-Roussillon,Leif Mannerström"
"Italien,Toscana,Podere Il Palazzino"
"Italien,Chianti,Fattoria Pogni"
"Frankrig,Côtes du Roussillon Villages,Château Saint-Roch"
"Italien,Veneto,Cantine di Ora"
"Italien,Puglia,Cantine due Palme"
"Italien,Puglia,Luna Argenta"
"Frankrig,Médoc,Château Blaignan"
"Tyskland,Rheinhessen,Hans Baer"
"Spanien,Campo de Borja,Bodegas Aragonesas"
"USA,Californien,Rebel Ridge"
"Frankrig,Côtes-du-Rhône,E. Guigal"
"Italien,Toscana,Santa Cristina"
"Italien,Salento,Masso Antico"
"Italien,Puglia,Ponte Lungo"
"Frankrig,Blaye - Côtes de Bordeaux,Château Terre Blanque"
"Frankrig,Pays d'Oc,Manoir Grignon"
"Italien,Toscana,Ponte Lungo"
"Chile,Colchagua Valley,Viu Manent"
"Portugal,Setúbal,Portinho do Covo"
"Italien,Puglia,Monte Tessa"
"Italien,Puglia,Pirovano"
"Italien,Puglia,Cantine Paradiso"
"Italien,Terre Siciliane,Palmento"
"Italien,Salento,Pirovano"
"Italien,Puglia,Luca Rossi"
"USA,Californien,Hillside Valley"
"Italien,Puglia,Codici"
"Spanien,Cava,Bodegas Pequeños"
"Frankrig,Blaye - Côtes de Bordeaux,Château La Roche Bazin"
"Frankrig,Vin de France,Georges Duboeuf"
"Frankrig,Côtes-du-Rhône,4 Chemins"
"Italien,Puglia,Sessola"
"Spanien,Calatayud,Miedes"
"Frankrig,Pays d'Oc,La Petite Laurette du Midi"
"Italien,Puglia,Nero Grande"
"Frankrig,Cahors,Georges Vigouroux"
"Spanien,Campo de Borja,Legado del Moncayo"
"Italien,Terre Siciliane,Miopasso"
"Italien,Rosso Conero,Umani Ronchi"
"Italien,Terre Siciliane,Tivoli"
"Portugal,Douro,Vidigal"
"Tyskland,Rheingau,Weinhof 519"
"Tyskland,Mosel,Cliffhanger"
"Frankrig,Pays d'Oc,Les Producteurs Réunis"
"Italien,Salice Salentino,Codici"
"Argentina,Patagonia,Malma - NQN"
"Italien,Puglia,Latentia Winery"
"Italien,Prosecco,Trevisana"
"Italien,Salento,Boccantino"
"Tyskland,Pfalz,Most Wanted"
"Frankrig,Pays d'Oc,Maison Barboulot"
"Sydafrika,Western Cape,Kleine Kaap Wines"
"USA,Horse Heaven Hills,Kjær Sommerfeldt"
"Frankrig,Beaujolais,Vignerons des Pierres Dorees"
"Spanien,Navarra,Latido de Sara"
"Italien,Irpinia,Corte del Golfo"
"Frankrig,Pays d'Oc,Les Vignerons du Sommiérois"
"USA,Arroyo Seco,Andover Estate"
"Italien,Toscana,Brancatelli"
"Frankrig,Côtes-du-Rhône,Foncalieu"
"Frankrig,Luberon,Le Paradou"
"Italien,Veneto,Cesari"
"Frankrig,Pays d'Oc,Mont Tauch"
"Italien,Asti,Martini"
"Italien,Prosecco,Zonin"
"Spanien,Cava,Villa Conchi"
"Italien,Prosecco,Freixenet"
"Frankrig,Vin de France,Veuve du Vernay"
"Portugal,Porto,Krohn"
"Frankrig,Jura,Francois Montand"
"Portugal,Porto,Sandeman"
"Italien,Asti,Mondoro"
"Spanien,Cava,Castillo Perelada"
"Frankrig,Pays d'Oc,Le Grand Noir"
"USA,Californien,Dark Horse"
"Argentina,Mendoza,Altos Las Hormigas"
"Italien,Terre Siciliane,Tasca d'Almerita"
"Italien,Sydtyrol - Alto Adige,Colterenzio (Schreckbichl)"
"Portugal,Porto,Royal Oporto"
"USA,Californien,American Wings"
"Frankrig,Côtes-du-Rhône,Château de Saint Cosme"
"Frankrig,Beaune,Veuve du Vernay"
"Argentina,Uco Valley,Crios"
"Italien,Prosecco di Treviso,Le Contesse"
"Portugal,Alentejo,Marquês de Borba"
"Italien,Castel del Monte,Torrevento"
"Portugal,Porto,Burmester"
"Spanien,Cava,Berberana"
"Spanien,Cava,Mistinguett"
"USA,Monterey County,Francis Ford Coppola Winery"
"Portugal,Douro,Ramos Pinto"
"Italien,Toscana,Il Cinghiale Sfuggente Governo"
"USA,Californien,Carnivor"
"Spanien,Toro,Vetus"
"Australien,Victoria,19 Crimes"
"USA,Californien,Apothic"
"Mexico,Valle de Guadalupe,L. A. Cetto"
"USA,Californien,Western Cellars"
"Frankrig,Languedoc,Jeff Carrel"
"Italien,Salice Salentino,Leone de Castris"
"Spanien,Cava,Bodegas Faustino"
"Italien,Soave Classico,Pieropan"
"Portugal,Porto,Smith Woodhouse"
"Australien,South Australia,Penfolds"
"Italien,Veneto,Biscardo"
"Italien,Verona,Antiche Terre Venete"
"Sydafrika,Stellenbosch,Warwick"
"Italien,Cannonau di Sardegna,Argiolas"
"Italien,Prosecco,Fili"
"Italien,Prosecco,Belstar"
"Portugal,Vinho Verde,Adega de Monção"
"Argentina,Cafayate Valley,El Esteco"
"Italien,Terre Siciliane,Baglio Gibellina"
"Italien,Lazio,Femar Vini"
"Portugal,Porto,Barros"
"Portugal,Douro,Quinta do Crasto"
"Italien,Barbera d'Asti,Pico Maccario"
"Italien,Puglia,IN ME"
"Italien,Puglia,Lupo Meraviglia"
"Spanien,Rioja,Palacios Remondo"
"Chile,Colchagua Valley,Cono Sur"
"Italien,Morellino di Scansano,Fattoria le Pupille"
"Italien,Molise,Di Majo Norante"
"Portugal,Douro,Prats & Symington (P+S)"
"Italien,Prosecco di Treviso,Val d'Oca"
"Frankrig,Bordeaux Supérieur,Les Notables de Maucaillou"
"Chile,Valle del Cachapoal,Santa Ema"
"Italien,Lazio,Falesco"
"Italien,Barbera d'Asti,Ricossa"
"Spanien,Cádiz,Huerta de Albala"
"Italien,Prosecco,Viticoltori Ponte"
"Italien,Veneto,Cantina di Negrar"
"Frankrig,Languedoc-Roussillon,Gourmet Pere & Fils"
"Frankrig,Pays d'Oc,Gérard Bertrand"
"Frankrig,Côtes du Roussillon,Domaine Lafage"
"Tyskland,Rheingau,Leitz"
"Italien,Irpinia,Feudi di San Gregorio"
"Italien,Rosso Conero,Garofoli"
"Italien,Primitivo di Manduria,Torrevento"
"New Zealand,Hawke's Bay,Sileni Estates"
"Frankrig,Languedoc-Roussillon,Domaine Lafage"
"Chile,Colchagua Valley,Los Vascos"
"Italien,Lazio,Poggio le Volpi"
"Italien,Primitivo di Manduria,Cantine due Palme"
"Italien,Veneto,Scaia"
"Frankrig,Côtes-du-Rhône,Paul Jaboulet Aîné"
"Italien,Primitivo di Manduria,Vigneti del Salento"
"Italien,Asti,Santero"
"Portugal,Porto,Vista Alegre"
"Italien,Barbera d'Asti,Prunotto"
"Italien,Atesino delle Venezie,Ruffino"
"Italien,Terre di Chieti,Umani Ronchi"
"Argentina,Mendoza,Pascual Toso"
"Chile,Valle de Casablanca,Cono Sur"
"Portugal,Palmela,Casa Ermelinda Freitas"
"Argentina,Mendoza,Dante Robino"
"Spanien,Dominio de Valdepusa,Marqués de Griñon"
"Brasilien,Serra Gaúcha,Aurora"
"Frankrig,Médoc,Château Bessan Ségur"
"Italien,Conegliano-Valdobbiadene Prosecco,La Farra"
"Spanien,Cava,Bellisco"
"Australien,Hunter Valley,Hope Estate"
"Chile,San Antonio Valley,Cono Sur"
"Italien,Barbera d'Asti,Michele Chiarlo"
"Spanien,Ribera del Duero,Callejo"
